Civilization,Architectural Style,Wonder Name,Civilization bonuses,Specialty,Team bonus,Unique technologies,Unique units,Wonder
Aztecs,,,Start the game with an Eagle Scout. Villagers carry +5 extra resources. All military units are created 15% faster. Monks gain 5 HP for every researched Monastery technology. Start with +50 gold.,Monks and infantry,Relics generate +33% gold.,Atlatl Garland Wars,Jaguar Warrior,Great Pyramid of Tenochtitlan
Berbers,,,Villagers move +10% faster. Stable units are 15%/20% cheaper in the Castle/Imperial Age. Ships move +10% faster.,Navy and cavalry,Genitour are available at the Archery Range.,Kasbah Maghrabi Camels,Camel Archer,Hassan Tower
Britons,West European,Aachen Cathedral*,Town Centers cost -50% wood starting in the Castle Age. Foot archers (except Skirmishers) have +1/+2 range in the Castle/Imperial Age. Shepherds work 25% faster.,Foot archers,Archery Ranges work 20% faster.,Yeomen Warwolf,Longbowman,Aachen Cathedral
Burmese,,,Lumber Camp technologies are free. Infantry has +1/+2/+3 attack in the Feudal/Castle/Imperial Age. Monastery technologies are 50% cheaper.,Monks and elephants,Relics are visible on the map from the game start.,Howdah Manipur Cavalry,Arambai,Shwezigon Pagoda
Byzantines,Middle Eastern,Hagia Sophia,"Buildings have +10%/+20%/+30%/+40% HP in the Dark/Feudal/Castle/Imperial Age. Camels, Skirmishers, and the Spearman lines are 25% cheaper. Fire Ships attack 20% faster. Advancing to the Imperial Age is 33% cheaper. Town Watch is free.",Defense,Monks heal 50% faster.,Greek Fire Logistica,Cataphract,Hagia Sophia
Celts,West European,Rock of Cashel,Infantry units move 15% faster. Lumberjacks work 15% faster. Siege weapons fire +20% faster. Enemy herdables can be converted regardless of enemy units next to them.,Infantry and siege weapons,Siege Workshops work 20% faster.,Stronghold Furor Celtica,Woad Raider,Rock of Cashel
Chinese,Far Eastern (East Asian),Temple of Heaven,"Start game with three extra Villagers, but with -200 food and -50 wood. Town Center supports ten population (instead of five). Technologies are 10%/15%/20% cheaper in the Feudal/Castle/Imperial Age. Demolition Ships have +50% HP.",Archers,Farms start with +45 food.,Great Wall Rocketry,Chu Ko Nu,Temple of Heaven
Ethiopians,,,Archers fire +15% faster. Receive +100 food and +100 gold whenever a new Age is reached. The Pikeman upgrade is free.,Archers and siege weapons,Towers and Outposts have +3 Line of Sight.,Royal Heirs Torsion Engines,Shotel Warrior,Biete Medhane Alem
Franks,West European,Notre Dame de Reims,Farm upgrades are free. Castles are 25% cheaper. Cavalry have +20% HP. Foragers work 25% faster.,Cavalry,Knights have +2 Line of Sight.,Chivalry Bearded Axe,Throwing Axeman,St. Vitus Cathedral
Goths,Central European,Mausoleum of Theodoric,Infantry are 35% cheaper starting in the Feudal Age. Infantry have +1 attack bonus against standard buildings. Villagers have +5 attack against Wild Boars and carry +15 food from hunting. +10 population cap in the Imperial Age.,Infantry,Barracks work 20% faster.,Anarchy Perfusion,Huskarl,Mausoleum of Theoderic I
Huns,,,"Start the game with -100 wood, but with the population cap at the maximum. Cavalry Archers are 10%/20% cheaper in the Castle/Imperial Age. Trebuchets have +35% accuracy against units.",Cavalry,Stables work 20% faster.,Marauders Atheism,Tarkan,Arch of Constantine
Incas,,,Start the game with an Eagle Scout. Start with a free Llama. Villagers benefit from Blacksmith infantry upgrades. Houses support 10 population. Buildings cost -15% stone.,Infantry,Farms are built 50% faster.,Andean Sling Couriers,Kamayuk Slinger,Temple of the Sun at Macchu Picchu
Indians,,,Fishermen work 15% faster and carry +15 food. Villagers are 10%/15%/20%/25% cheaper in the Dark/Feudal/Castle/Imperial Age. Camels have +1 pierce armor.,Camels and gunpowder units,Camels have +6 attack against buildings.,Sultans Shatagni,Elephant Archer Imperial Camel,Gol Gumbaz (before Rise of the Rajas) Brihadeeswarar Temple (since Rise of the Rajas)
Italians,,,Dock technologies are 50% cheaper. Fishing Ships are 20% cheaper. Gunpowder units are 20% cheaper. Advancing to the next Age is 15% cheaper.,Navy and archers,Condottieri are available at the Barracks.,Pavise Silk Road,Genoese Crossbowman,"Genoa Cathedral, Cathedral of St. Lawrence"
Japanese,Far Eastern (East Asian),Tōdai-ji,"Fishing Ships have double HP, +2 pierce armor, and work 5%/10%/15%/20% faster in the Dark/Feudal/Castle/Imperial Age. Mills, Lumber Camps and Mining Camps are 50% cheaper. Infantry attack 25% faster starting in the Feudal Age.",Infantry,Galleys have a +50% longer Line of Sight.,Yasama Kataparuto,Samurai,Tōdai-ji
Khmer,,,No buildings are required to construct certain buildings or advance in Age. Battle Elephants move +15% faster. Villagers can garrison in Houses.,Siege weapons and elephants,Scorpions have +1 range.,Tusk Swords Double Crossbow,Ballista Elephant,Angkor Wat
Koreans,,,Villagers have +3 Line of Sight. Stone Miners work 20% faster. Tower upgrades are free (Bombard Tower requires Chemistry). Towers (except Bombard Towers) have +1/+2 range in the Castle/Imperial Age. Fortifications are built 33% faster.,Towers and navy,Mangonel line minimum range reduced.,Panokseon Shinkichon,War Wagon Turtle Ship,Hwangnyong Temple
Magyars,,,"Forging, Iron Casting, and Blast Furnace are free. Scout Cavalry line is 15% cheaper. Villagers kill wild animals in one strike.",Cavalry,Foot archers have +2 Line of Sight.,Mercenaries Recurve Bow,Magyar Huszar,Hunyad Castle
Malay,,,Advancing in Age is +80% faster. Fish Traps are 33% cheaper. Fish Traps provide unlimited food. Battle Elephants are 30% cheaper.,Navy,Docks have double Line of Sight.,Thalassocracy Forced Levy,Karambit Warrior,Kalasan Temple
Malians,,,Buildings cost -15% wood (except Farms). Barracks units have +1/+2/+3 pierce armor in the Feudal/Castle/Imperial Age. Gold Mining is free.,Infantry,Universities research +80% faster.,Tigui Farimba,Gbeto,Great Mosque of Djenné
Mayans,,,"Start the game with an Eagle Scout. Start the game with +1 Villager, but with -50 food. Resources last 15% longer. Foot archers are 10%/20%/30% cheaper in the Feudal/Castle/Imperial Age.",Archers,Walls are 50% cheaper.,Obsidian Arrows El Dorado,Plumed Archer,Tikal Temple I
Mongols,Far Eastern (East Asian),Genghis Khan Tent,Cavalry archers fire 25% faster. Light Cavalry and Hussars have +30% HP. Hunters work +50% faster.,Cavalry archers,The Scout Cavalry line has +2 Line of Sight.,Nomads Drill,Mangudai,Great Tent of Genghis Khan
Persians,Middle Eastern,Taq-i Kisra,Start game with +50 food and +50 wood. Town Centers and Docks have double HP and work 10%/15%/20% faster in the Feudal/Castle/Imperial Age.,Cavalry,Knights have +2 attack against archers.,Boiling Oil Mahouts,War Elephant,Taq Kasra
Portuguese,,,All units cost -15% gold. All ships have +10% HP. The Feitoria becomes available for building in the Imperial Age.,Navy and gunpowder units,Free Cartography from the beginning of the game.,Carrack Arquebus,Organ Gun Caravel,Belém Tower
Saracens,Middle Eastern,Great Mosque of Samarra,The commodity trading fee is 5%. Markets cost -75 wood. Transport Ships have double HP and +5 carry capacity. Galleys attack 20% faster. Cavalry Archers have +4 attack against standard buildings.,Cavalry and navy,: Foot archers have +2 attack against standard buildings.,Madrasah Zealotry,Mameluke,Great Mosque of Samarra
Slavs,,,Farmers work 15% faster. Tracking is free. Siege Workshop units are 15% cheaper. Team bonus: Military buildings (excluding Castles and Docks) provide +5 population.,Infantry and siege weapons,,Orthodoxy Druzhina,Boyar,Kizhi Pogost
Spanish,,,Builders work 30% faster. Blacksmith upgrades cost no gold. Cannon Galleons have better accuracy and faster cannonballs. Hand Cannoneers and Bombard Cannons fire 15% faster.,Monks and gunpowder units,Trade units generate +25% gold.,Inquisition Supremacy,Conquistador Missionary,Torre del Oro
Teutons,Central European,Maria Laach Abbey,Monks have double healing range. Towers garrison twice as many units. Murder Holes are free. Farms are 33% cheaper. Town Centers can garrison +10 units.,Infantry,Units resist conversion.,Ironclad Crenellations,Teutonic Knight,Maria Laach Abbey
Turks,Middle Eastern,Selimiye Mosque,Gunpowder units have +25% HP. Gunpowder technologies are 50% cheaper. Chemistry is free. Gold Miners work 20% faster. Light Cavalry and Hussar upgrades are free.,Gunpowder units,Gunpowder units are created 20% faster.,Sipahi Artillery,Janissary,Selimiye Mosque
Vietnamese,,,Reveal enemy positions at game start. Archery Range units have +20% HP. Conscription is free.,Archers,Imperial Skirmishers are available at the Archery Range.,Chatras Paper Money,Rattan Archer,Bút Tháp
Vikings,Central European,Borgund Stave Church,Warships are 15%/15%/20% cheaper in the Feudal/Castle/Imperial Age. Infantry have +10%/+15%/+20% HP in the Feudal/Castle/Imperial Age. Wheelbarrow and Hand Cart are free.,Infantry and navy,Docks are 15% cheaper.,Chieftains Berserkergang,Berserk Longboat,Borgund Stave Church
